,channel_id,channel_name,country,genre_channel,join_date,subscriber,total_video,,,0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,United States,Gaming,4/29/2010,61006277,3424,
0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,United States,Gaming,4/29/2010,61006277,3424,,,9,UCV4xOVpbcV8SdueDCOxLXtQ,Fernanfloo,-,Gaming,5/2/2011,26568886,568,
9,UCV4xOVpbcV8SdueDCOxLXtQ,Fernanfloo,-,Gaming,5/2/2011,26568886,568,,,,,,,,,,,
4,UCXazgXDIYyWH-yXLAkcrFxw,elrubiusOMG,EspaÃ±a,Comedy,12/20/2011,27604255,759,,,,,,,,,,,
49,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,Sint-Maarten,People & Blogs,8/10/2011,14638218,5018,,,,,,,,,,,
9,UCV4xOVpbcV8SdueDCOxLXtQ,Fernanfloo,-,Gaming,5/2/2011,26568886,568,,,4,UCXazgXDIYyWH-yXLAkcrFxw,elrubiusOMG,EspaÃ±a,Comedy,12/20/2011,27604255,759,
5,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,-,Music,5/12/2009,27595675,84,,,,9,UCV4xOVpbcV8SdueDCOxLXtQ,Fernanfloo,-,Gaming,5/2/2011,26568886,568
6,UCBR8-60-B28hp2BmDPdntcQ,YouTube Spotlight,-,Entertainment,-,27211131,268,,,,,,,,,,,
7,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,United States,Sports,3/17/2009,27138415,172,,,,,,,,,,,
4,UCXazgXDIYyWH-yXLAkcrFxw,elrubiusOMG,EspaÃ±a,Comedy,12/20/2011,27604255,759,,,49,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,Sint-Maarten,People & Blogs,8/10/2011,14638218,5018,
49,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,Sint-Maarten,People & Blogs,8/10/2011,14638218,5018,,,,,,,,,,,
10,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,Sint-Maarten,Music,12/13/2009,26493742,126,,,,,,,,,,,
11,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,-,Music,5/12/2009,25986135,76,,,,,,,,,,,
12,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,-,Entertainment,5/19/2013,24829512,1363,,,,,,,,,,,
13,UCbW18JZRgko_mOGm5er8Yzg,OneDirectionVEVO,-,Music,12/4/2010,23387866,171,,,,,,,,,,,
14,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,United States,Entertainment,11/21/2006,23258125,8384,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
17,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,-,Sports,5/11/2007,22385703,33313,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
19,UCBNs31xysxpAGMheg8OrngA,Yuya,MÃ©xico,Howto & Style,9/20/2009,20685484,542,,,,,,,,,,,
20,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,Sint-Maarten,Entertainment,7/21/2006,20503286,328,,,,,,,,,,,
21,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,MÃ©xico,Music,7/12/2007,20201423,8380,,,,,,,,,,,
22,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,Sint-Maarten,Music,9/19/2006,19815849,63,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
24,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,India,Entertainment,9/20/2006,19659561,22750,,,,,,,,,,,
25,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,-,Music,9/2/2009,19274161,140,,,,,,,,,,,
26,UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,Brazil,Entertainment,5/16/2006,19191439,941,,,,,,,,,,,
27,UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,United States,Music,9/23/2012,18214994,1288,,,,,,,,,,,
28,UCVtFOytbRpEvzLjvqGG5gxQ,KSI,Great-Britain,Entertainment,7/25/2009,18126300,1115,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
32,UCLp8RBhQHu9wSsq62j_Md6A,LuisFonsiVEVO,Sint-Maarten,Music,5/12/2009,17798610,51,,,,,,,,,,,
33,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,United States,Entertainment,6/4/2007,16816723,1528,,,,,,,,,,,
34,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,United States,Entertainment,8/29/2015,16733800,498,,,,,,,,,,,
35,UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,Canada,Entertainment,1/25/2007,16488624,14251,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
37,UC2pmfLm7iq6Ov1UwYrWYkZA,Vevo,Sint-Maarten,Music,4/14/2006,15959363,1394,,,,,,,,,,,
38,UClZkHt2kNIgyrTTPnSQV3SA,Get Movies,Russian Federation,Entertainment,12/16/2006,15911524,2604,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
41,UC1l7wYrva1qCH-wgqcHaaRg,David Guetta,-,Music,12/11/2009,15555406,410,,,,,,,,,,,
42,UCjK8ORC71kwyj1DWFwril_A,SelenaGomezVEVO,Sint-Maarten,Music,11/24/2009,15472725,123,,,,,,,,,,,
43,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,Sint-Maarten,Music,5/12/2009,15441214,107,,,,,,,,,,,
44,UCbTVTephX30ZhQF5zwFppBg,rezendeevil,Brazil,Entertainment,2/12/2012,15316319,5691,,,,,,,,,,,
45,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,India,Education,2/9/2013,15189956,223,,,,,,,,,,,
46,UCzVIrPfZBE-XkBISBybMBLA,Werevertumorro,MÃ©xico,Entertainment,2/28/2007,15054695,991,,,,,,,,,,,
47,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,Great-Britain,Entertainment,8/14/2011,14832261,456,,,,,,,,,,,
48,UCmv1CLT6ZcFdTJMHxaR9XeA,PTXofficial,Sint-Maarten,Music,9/10/2011,14645176,122,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
50,UCKAqou7V9FAWXpZd9xtOg3Q,LittleBabyBum Â®,Great-Britain,Entertainment,6/22/2011,14346935,605,,51,UC-SV8-bUJfXjrRMnp7F8Wzw,RomanAtwoodVlogs,United States,People & Blogs,8/12/2013,14307222,1493,,
,,,,,,,,,,,,,,,,,,
52,UCEWHPFNilsT0IfQfutVzsag,Porta dos Fundos,Brazil,Entertainment,3/12/2012,13973675,811,,,,,,,,,,,
53,UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,-,Music,5/9/2008,13965421,408,,,,,,,,,,,
54,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,-,Howto & Style,11/15/2016,13867554,1327,,,,,,,,,,,
