,Unnamed: 0,Unnamed: 0.1,category,channel_id,dislike,duration,like,publish_date,title,vid,view
0,0,0,Komedi,UC-lHJZR3Gqxm24_Vd_AJ5Yw,3609,PT5M51S,272976,-,8 MILLION BROS!,5DXRdOvZYsE,6603917.0
1,1,1,Grand Theft Auto,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2188,PT5M12S,113702,-,GRENNY DED ;_; (GTAV Online #4),RCLVNbSGH-w,3726744.0
2,2,2,Five Nights at Freddy's 2,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2269,PT11M18S,170938,-,FIVE NIGHTS AT FREDDY'S 2 - THE HARDEST JUMPSCARES!! (NIGHT 3),2PazPpM5_r0,4651941.0
3,3,3,Blog & Orang,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1017,PT6M24S,154244,-,VLOG - Singapore - BROS ARE EVERYWHERE!,yrhZcucdLH4,2780418.0
4,4,4,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,3180,PT4M44S,318826,-,I Share My Secret...,LcyIopv-4UQ,7660821.0
5,5,5,Amnesia: The Dark Descent,UC-lHJZR3Gqxm24_Vd_AJ5Yw,193,PT30M42S,15290,-,[Funny/Horror] Amnesia: 30 MINUTE SPECIAL! :D - Followed By Death: Chapter One,On9PezFoT1I,721819.0
6,6,6,YouTube Gaming,UC-lHJZR3Gqxm24_Vd_AJ5Yw,7448,PT11M27S,351148,-,DO NOT RIDE SNAKE / Getting Over It / #7,KQz9LftS6ls,5444964.0
7,7,7,YouTube Gaming,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1657,PT11M36S,103324,-,"MOST INTENSE GAME MINIGOLF OF THE CENTURY OF THE UNIVERSE, I SWEAR!",D0WJ38C5o2o,3864098.0
8,8,8,LIMBO,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1023,PT15M15S,68219,-,Limbo Walkthrough - Part 1 (Playthrough / Let's Play),PE-U1k4XUQk,2661128.0
9,9,9,Blog & Orang,UC-lHJZR3Gqxm24_Vd_AJ5Yw,5036,PT10M20S,261287,-,Time To Say Bye.,BIkvy7fVOgc,6073262.0
10,10,10,Amnesia: The Dark Descent,UC-lHJZR3Gqxm24_Vd_AJ5Yw,36,PT12M45S,4777,-,Amnesia: Custom Story: La Caza - Part 1,krFQqMFj-2A,214896.0
11,11,11,Blog & Orang,UC-lHJZR3Gqxm24_Vd_AJ5Yw,21390,PT5M17S,926736,-,READING MEAN COMMENTS. - (Fridays With PewDiePie - Part 78),5163pfq4xAg,32524158.0
12,12,12,Infamous: Second Son,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2189,PT23M17S,241196,-,I'M SMOSES - Infamous: Second Son - Part 2,3MULG0x8QJE,6204886.0
13,13,13,Amnesia: The Dark Descent,UC-lHJZR3Gqxm24_Vd_AJ5Yw,52,PT9M35S,5099,-,[Funny/Horror] Amnesia: WHY CANT WE BE FRIENDS? - Nightmare,9rcXk_29CS4,258954.0
14,14,14,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,4499,PT8M16S,255778,-,"INDOOR FIREWORKS, OUTDOORS... (5 Weird Stuff Online - Part 22)",tNPr_hVCBqo,4945559.0
15,15,15,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,4930,PT6M12S,484560,-,DISGUSTING JEALLY BEAN CHALLENGE,oJNDHy20Ebs,11797489.0
16,16,16,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2947,PT8M7S,301912,-,FINGER HANDS?! (5 Weird Stuff Online - Part 09),lkxqCiseuoU,6786649.0
17,17,17,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,3205,PT2M5S,109008,-,DISSING YOUR MOMS! (BroKen Podcast w/Jackcepticeye - Part 8),j7n5VOZ5qJE,3399376.0
18,18,18,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1606,PT9M44S,132844,-,Biggest Plot Twist Of All Time! - Evie: Existor - Part 4,hXHckEbvGHM,8032148.0
19,19,19,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1791,PT9M57S,172050,-,THIS GAME IS SO SCARY... Power Drill Massacre.,dzMEXqE5Xbk,4554617.0
20,20,20,Videoidenpiilotusoperaatio,UC-lHJZR3Gqxm24_Vd_AJ5Yw,5088,PT16M46S,244965,-,The Hardest Game In The Universe?,vO7eyFoSbAc,4662144.0
21,21,21,YouTube Gaming,UC-lHJZR3Gqxm24_Vd_AJ5Yw,3455,PT7M50S,359966,-,IS MY DAD GAY? (Google Feud w/ KickThePJ),fvTtrAcaGLY,7173970.0
22,22,22,Octodad: Dadliest Catch,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1907,PT11M35S,132721,-,NOBODY SUSPECTS A THING! - Octodad: Dadliest Catch (Pre Build) - Part 2,b4M81RVdmpw,5852163.0
23,23,23,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2016,PT44M39S,131716,-,IS THIS GAME TOO MUCH?? - Corpse Party - Part 2 - Chapter 2 (End),2rM4sRF0SOU,5406989.0
24,24,24,Who's Your Daddy?,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2322,PT8M42S,157831,-,BABY GONE SEXUAL - (Who's Your Daddy? - Part 2),waeR5S2mXXs,5350564.0
25,25,25,jack0lantern(ê¹¹ë¶?),UC-lHJZR3Gqxm24_Vd_AJ5Yw,19672,PT10M4S,223345,-,DRINKING PISS FOR VIEWS,8Q6pVF-S48Q,4260882.0
26,26,26,Amnesia: The Dark Descent,UC-lHJZR3Gqxm24_Vd_AJ5Yw,33,PT13M17S,4473,-,Amnesia: Abduction [Custom Story] Part 9,T6yA7C___lQ,154263.0
27,27,27,Tschonti,UC-lHJZR3Gqxm24_Vd_AJ5Yw,4619,PT6M55S,329826,-,PEWDIEPIE CRINGE,NidE0fa4wcY,7891522.0
28,28,28,666 metalhead,UC-lHJZR3Gqxm24_Vd_AJ5Yw,11060,PT5M8S,594300,-,TRY NOT TO LAUGH! #05 **DANK EDITION**,pzwRpY-Mu9c,12665518.0
29,29,29,Game,UC-lHJZR3Gqxm24_Vd_AJ5Yw,3133,PT5M2S,96412,-,ARE YOU A HIPSTER? (BroKen TLDR #9),UBvVh_oG1O8,2892847.0
30,30,30,Postal 2,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2836,PT10M1S,142162,-,Leg Soup. (Postal 2 -- Part 4),LgFG5OgPnq0,3235796.0
