category,view,like,dislike,month,year,,,
Komedi,6604600,272985,3609,5,2013,,,
Game,3728254,113731,2188,6,2015,,,
Game,4653173,170948,2269,11,2014,,,
Blog &amp; Orang,2781130,154260,1017,5,2013,,,
Game,7661347,318828,3180,8,2014,,,
Game,721972,15292,193,10,2011,,,
Game,5485268,352296,7510,12,2017,,,
Game,3864428,103324,1657,12,2014,,,
Game,2662058,68229,1023,10,2012,,,
Blog &amp; Orang,6074326,261306,5036,10,2015,,,
Game,214969,4777,36,6,2011,,,
Blog &amp; Orang,32533798,926986,21393,5,2014,,,
Game,6209003,241252,2191,8,2014,,,
Game,258998,5101,52,11,2011,,,
Game,4949543,255886,4503,1,2016,,,
Game,11802400,484663,4932,3,2015,,,
Game,6788293,301927,2947,5,2015,,,
Game,3399415,109002,3205,11,2014,,,
Game,8033338,132861,1606,11,2012,,,
Game,4556978,172087,1791,6,2015,,,
Komedi,4678319,245338,5092,7,2017,,,
Game,7182559,360233,3456,7,2016,,,
Game,5853232,132737,1907,8,2013,,,
Game,5409060,131748,2019,6,2014,,,
Game,5353195,157880,2321,2,2016,,,
Game,4262011,223363,19674,9,2016,,,
Game,154319,4472,33,8,2011,,,
Game,7897770,329990,4625,8,2016,,,
Game,12684576,594851,11067,9,2016,,,
Game,2892867,96411,3133,5,2015,,,
Game,3236207,142163,2836,6,2015,,,
Game,832792,16327,265,6,2012,,,
Game,3261723,185759,1527,9,2015,,,
Game,12732700,280559,3867,9,2013,,,
Game,12838969,331147,4412,1,2014,,,
Hiburan,2263137,36857,410,10,2011,,,
Game,1198906,38731,452,3,2013,,,
Game,9484530,299824,3629,5,2014,,,
Game,3495679,127421,2483,6,2016,,,
Game,786967,15357,126,3,2012,,,
Game,979193,29498,431,9,2012,,,
Game,8586524,250551,2636,4,2014,,,
Hiburan,8940179,574812,11379,1,2017,,,
Game,4845018,138218,1596,2,2014,,,
Game,5611788,238612,3986,10,2015,,,
Game,912760,14668,128,5,2012,,,
Game,3995537,73457,792,11,2012,,,
Game,8152552,184971,2254,6,2014,,,
Hiburan,8216702,404730,2418,8,2014,,,
Game,2545248,200331,1025,9,2015,,,
