category,view,like,dislike,month,year
Game,11802400,484663,4932,3,2015
Game,4791668,147640,2969,3,2015
Game,2858031,85978,1655,3,2015
Komedi,6187332,358528,5611,3,2015
Blog &amp; Orang,2973584,139538,1261,3,2015
Game,3561793,138921,2183,3,2015
Game,3467196,131649,1290,3,2015
Game,8847544,324846,2395,3,2015
Game,3631039,151965,1448,3,2015
Game,7795064,196577,6628,3,2015
Game,7239851,196682,2548,3,2015
Game,10833522,351245,3971,3,2015
Game,2936704,86077,2125,3,2015
Game,8411499,370159,3046,3,2015
Game,8197044,253444,5803,3,2015
Game,12909124,359834,6880,3,2015
Game,8698825,282242,3123,3,2015
Komedi,5112209,245096,2070,3,2015
Game,6072948,192338,3623,3,2015
Game,2373924,71271,2424,3,2015
Game,3397236,142740,1688,3,2015
Game,6703525,264958,3747,3,2015
Game,4756487,146508,1625,3,2015
Game,4559587,116529,2268,3,2015
Game,5424596,170128,1678,3,2015
Game,9625859,412420,2542,3,2015
Game,4276249,165818,2518,3,2015
Game,3167245,93025,3115,3,2015
Game,5957471,158715,3329,3,2015
Game,4340720,100029,5154,3,2015
Game,3960779,133332,1695,3,2015
Game,12063174,373372,9855,3,2015
Game,4551815,109513,2385,3,2015
Game,3157611,91728,1297,3,2015
Game,7025205,202150,3650,3,2015
Game,7704070,354815,2423,3,2015
Game,5784068,274013,2001,3,2015
Game,5016202,142907,3141,3,2015
Game,5273711,85965,4946,3,2015
Game,3354565,103213,2002,3,2015
Game,4238390,157778,2600,3,2015
Game,7394964,223282,4842,3,2015
Game,5259484,147857,3692,3,2015
Blog &amp; Orang,7809908,459667,3000,3,2015
Game,6493062,140332,3261,3,2015
Game,5331550,149941,1900,3,2015
Game,4190880,216909,2244,3,2015
Game,4450660,206418,2297,3,2015
Game,2761794,69278,2207,4,2015
Game,4768943,218216,3209,4,2015
Komedi,4296796,249264,3219,4,2015
Game,1762299,50368,2819,4,2015
Game,4783759,213611,2396,4,2015
Game,9470731,267233,3611,4,2015
Game,3467045,142125,1815,4,2015
