date,like,dislike
2015-3,9912755,150880
2015-4,10811525,162632
2015-5,10759374,165630
2015-6,10464201,190848
2015-7,10459873,184830
2015-8,8793288,129895
2015-9,10954259,141670
2015-10,6946449,131361
2015-11,6230279,129720
2015-12,6089497,109227
2016-1,7000079,143118
2016-2,6822603,212835
2016-3,7797690,143451
2016-4,10118426,199921
2016-5,10915114,248095
2016-6,10991897,236857
2016-7,13091580,296100
2016-8,8413917,238070
2016-9,9534444,208872
2016-10,7981882,172477
2016-11,5560026,130042
2016-12,22373182,4102924
2017-1,14457745,444085
2017-2,8916580,195969
2017-3,8970033,1091871
2017-4,7189766,148441
2017-5,7334920,197600
2017-6,9765192,388774
2017-7,6890616,166104
2017-8,6604335,144337
2017-9,6253613,215043
2017-10,7175603,138883
2017-11,6168710,144767
2017-12,10475599,215672
